Продукт,"Бел, г","Жир, г","Угл, г","Кал, ккал"
Мороженое Dove Vanilla,3.8,21.7,30.5,333
Мороженое Nestle Extreme Пломбир с чёрной смородиной,2.6,12.6,35.5,262
Мороженое Nestle Extreme Тропик,2.4,7.5,39.0,236
Мороженое Nestle Maxibon с печеньем и орехами,3.6,15.0,39.2,307
Мороженое Nestle Maxibon Страчателла,3.6,15.0,39.4,307
Мороженое Viva la Crema Грецкий орех,4.1,13.0,27.1,245
Мороженое Viva la Crema Лесная ягода,3.2,8.2,29.4,205
Мороженое Viva la Crema Персик-маракуйя,3.3,8.4,29.7,209
Мороженое Viva la Crema Тартюфо,3.9,13.0,27.7,243
Мороженое Viva la Crema Трюфель,2.5,9.6,27.6,210
Мороженое Viva la Crema Фисташковое,4.1,13.9,24.6,239
Мороженое Viva la Crema Шварцвальдская вишня,1.7,16.4,29.7,273
Мороженое АйсКро Сорбет Малина-Чили,0.0,0.0,5.9,25
Мороженое Вологодский пломбир,3.7,14.0,23.0,230
Мороженое Вологодский пломбир шоколадный в стаканчике,4.0,11.5,22.0,210
Мороженое Инмарко Золотой стандарт пломбир,3.9,15.0,20.4,232
Мороженое Инмарко Торжество пломбир натуральные сливки,3.9,15.0,20.4,232
Мороженое Инмарко Торжество Птичье молоко,3.7,12.9,30.0,251
Мороженое Инмарко Торжество с клубничным чизкейком,3.9,8.3,29.3,208
Мороженое Магнат Брюнетка,4.3,17.4,29.9,293
Мороженое Магнат Мадагаскар тёмный шоколад,4.0,18.5,26.1,287
Мороженое Магнат пломбир,4.3,20.1,26.7,305
Мороженое молочное,3.2,3.5,21.3,126
Мороженое молочное клубничное,3.8,2.8,22.2,123
Мороженое молочное крем-брюле,3.5,3.5,23.1,134
Мороженое молочное ореховое,5.4,6.5,20.1,157
Мороженое молочное шоколадное,4.2,3.5,23.0,138
Мороженое От Деда Мороза ванильное и клубничное с клубничным джемом,2.9,9.0,21.6,179
Мороженое пломбир,3.2,15.0,20.8,227
Мороженое пломбир крем-брюле,3.0,15.0,23.0,235
Мороженое пломбир ореховый,5.2,18.0,19.9,259
Мороженое пломбир шоколадный,3.6,15.0,22.3,236
Мороженое Русский Холодъ Золотой пломбир,3.8,12.0,20.4,205
Мороженое Русский Холодъ Юбилейное ванильное,3.7,12.0,20.4,204
Мороженое Русский Холодъ Юбилейное эскимо без глазури,3.7,13.2,20.4,215
Мороженое Светаево пломбир ванильный в вафлях,3.7,14.0,23.0,230
Мороженое Светаево пломбир Крем-брюле,3.0,25.0,15.0,240
Мороженое Светаево пломбир Черника,3.0,12.0,27.0,230
Мороженое сливочное,3.3,10.0,19.8,179
Мороженое сливочное клубничное,3.8,8.0,20.9,165
Мороженое сливочное крем-брюле,3.5,10.0,21.6,186
Мороженое сливочное ореховое,5.5,13.0,18.6,210
Мороженое сливочное шоколадное,3.5,10.0,21.5,188
Мороженое Талосто Ля Фам крем-брюле,4.5,13.7,32.0,262
Мороженое Фифти-фифти Птичье молоко,9.6,10.8,19.4,213
Мороженое Чистая Линия Cемейное пломбир ванильное,3.7,12.0,20.5,205
Мороженое Экзо Арбуз и дыня,1.9,3.9,28.7,166
Мороженое Экзо Черника и ежевика,1.9,3.9,28.7,166
Мороженое эскимо,3.5,20.0,19.6,270
